channel,epoch,followers,video_count,avg10View,avg10Like,avg10Comment,frequency,isVerify,predict_view,predict_like,predict_comment,view
HOYO-MiX,162928660,540000,29,1854040,21547,326,2441909,0,1098154,615,0,1854040
Miko,343576116,12500,1080,8811,230,38,1582557,0,225451,283,0,8811
GIBlacky,84734850,32600,37,373299,13694,737,6516191,0,3662498,6476,7,373299
Yoshino,141411802,43600,614,845757,22168,176,3044731,0,6204364,7839,1,845757
원신,216944731,313000,2003,51846,1645,68,9045607,0,52979,81,0,51846
More Xlice,143974064,25700,434,8652,305,20,1198887,0,107676,182,0,8652
Unreal Dreamer,307772187,90700,1418,15162,870,38,7257042,0,53467,147,0,15162
TheMusicInMe777,398764089,8590,1501,4759,134,13,13845859,0,177198,240,0,4759
Genshin Impact Wishes,148639269,466,145,4208,110,4,3506296,0,2888205,3639,2,4208
Genshin’d the Impact,104783820,155,28,1656,89,3,4730270,0,3417172,8853,6,1656
Genshin Impact Guides,171489023,19,4,1210,17,2,328143,0,20369012,13795,33,1210
Genshin Male Ragdoll,68771288,82,94,371,11,1,6829718,0,1447099,2068,3,371
Genshin Impact Video,165042135,6,10,34,1,0,339669,0,1812449,2569,0,34
Genshin Impact OST,113156935,12,13,520,14,0,2293834,0,13859906,17988,0,520
HoYoFair,97821760,707000,237,1829805,46971,775,15937214,0,827796,1024,0,1829805
BroX,177543869,83000,1022,100242,2983,83,6402857,0,386286,554,0,100242
Genshin Impact YouTube Channel ,154007275,97,19,9,1,0,2523611,0,29676,158,0,9
DukTV,310390032,356000,1124,307514,22439,262,6443600,0,276282,971,0,307514
IWinToLose Gaming,318088544,504000,809,194464,6482,816,6912313,0,123409,198,0,194464
Lumine Genshin Impact,4076493,57,36,910,29,4,357322,0,5106281,7844,22,910
Genshin Impact Banga,144255724,30700,614,85254,4161,46,5531087,0,888207,2089,0,85254
Moga,339641158,563000,2400,249177,12887,252,6742000,0,141559,352,0,249177
Big Genshin Brother,70626062,7330,27,51302,3078,211,7639211,0,2238558,6474,9,51302
Raiden Shotgun,68995925,171000,382,31125,1045,219,1702281,0,58217,94,0,31125
MoriKitchen,178910061,542000,214,87640,4960,53,4943999,0,51717,141,0,87640
𝐡𝐞𝐚𝐯𝐞𝐧.,100722391,60100,78,221728,8293,146,3848376,0,1180006,2127,0,221728
E,121701243,116000,193,156116,13440,1320,8995599,0,430454,1786,3,156116
Gnik,225683705,73700,45,1025793,41767,2586,4782892,0,4451746,8738,11,1025793
ECHO 101,140638562,39500,2026,79513,2936,52,4886491,0,643841,1146,0,79513
Denyi,166112565,1130,68,8720,290,8,5904278,0,2468176,3957,2,8720
KyoStinV,283601494,765000,3763,881879,22186,1617,21744625,0,368710,447,0,881879
Genshin Impact Music,140538806,177,165,605,22,2,601999,0,1093252,1916,3,605
arlecchino Impact,77822268,53900,152,33626,66,203,1756800,0,199537,18,1,33626
Zy0x Archives,299816720,25700,467,21722,541,76,5807559,0,270336,324,0,21722
DafDazDay,212225532,13700,1471,32550,584,82,8662813,0,759921,657,1,32550
Mamba Uchiha Tv,316643464,13200,2868,16993,683,51,2627753,0,411750,797,1,16993
AsianGuyStream,173303896,406000,603,519316,24382,682,23379302,0,409113,925,0,519316
Beginner's Guide to Genshin Impact,50446854,4,32,9,0,1,456203,0,719649,0,80,9
Genshin Impact Channel 🧣🎮,188573396,28,0,0,0,0,0,0,0,0,0,0
Genshin Impact Android ,245726834,6,10,7,2,0,98240,0,373151,5139,0,7
Baba of genshin impact ,4985024,221,37,47966,1625,11,469460,0,69419173,113375,15,47966
W1LLy Genshin,138241767,358,146,38423,770,32,9569865,0,34327838,33163,28,38423
KKOMDA,338648005,646000,98,3347061,109335,3010,17212598,0,1657178,2609,1,3347061
mie ♡,44837795,18600,65,20801,1179,142,3181789,0,357692,977,2,20801
Genshin Editor Channel ,49312770,32,79,88,3,0,2734550,0,879571,1445,0,88
Genshin impact game ch,216917,2,1,19,3,0,0,0,3038518,23128,0,19
m1s3n,306893909,437000,1222,661749,37493,597,11107490,0,484339,1322,0,661749
Genshin Impact rising ,7675241,44,110,8,0,0,722862,0,58153,0,0,8
Genshin Impact World Game,21940533,2,8,403,5,1,94738,0,64448566,38547,160,403
Yazuka Impact,49335494,7520,653,3444,59,39,785318,0,146481,120,1,3444
Genshin lover,17532168,184,154,11739,547,39,537552,0,20405699,45838,67,11739
Genshin impact 446 ,21680517,3,13,393,6,1,926547,0,41899564,30838,106,393
Dreamscape Archives | Genshin Lore,14118456,692,94,1957,79,10,1349402,0,904529,1760,4,1957
ShinMe Channel,391104928,15300,1459,3184,144,12,17402697,0,66560,145,0,3184
LunASMR,158754663,77900,123,227765,5405,804,16780993,0,935163,1069,3,227765
Larua,72603498,4570,557,17163,1121,48,11699308,0,1201199,3782,3,17163
Genshin Impact - Miliastra Wonderland,26538473,84000,95,28831,1110,136,1846796,0,109778,203,0,28831
Knowing Genshin Channel,136402237,1,7,36,1,0,57002,0,11514384,15419,0,36
Rowdy Gamerz,98372998,10900,1391,232026,5924,71,9267603,0,6808451,8380,2,232026
Polia,312243858,140000,957,96475,5134,95,10118062,0,220406,565,0,96475
Big Guap - Genshin Impact,188703173,2,1,33,5,5,0,0,5277426,38547,800,33
Genshin Impact Fanarts Channel,32840891,0,5,13,0,0,124,0,,,,13
Flip,317043696,20200,322,26685,1063,284,9566101,0,422526,811,4,26685
Genshin Impact Quest Archive,183584824,16800,731,6384,66,10,9050353,0,121540,60,0,6384
PickyChoco,415644602,20800,364,25137,677,47,1564352,0,386534,501,0,25137
HaruVT,94129379,32600,246,52134,5179,132,7419513,0,511495,2449,1,52134
Genshin Impact Unofficial,115978791,47,10,60,3,1,1414210,0,408311,984,6,60
WeWill Genshin impact,133376160,5370,181,9792,308,83,13862887,0,583223,884,4,9792
itspaikon,173081691,571000,307,2245764,71632,1128,14814131,0,1257958,1934,0,2245764
Genshin Impact times,23234131,1,2,29,2,0,79105,0,9275476,30838,0,29
GenShin impact TV,198974592,2,4,6,0,0,6344535,0,959532,0,0,6
