channel,epoch,followers,video_count,avg10View,avg10Like,avg10Comment,avg10Duration,frequency,isVerify,avgView,avgLikes,avgComments,avgDuration,view
Valorant Curios,1775209354,533000,1517,1070574,20616,693,1836,13701661,1,454248,10753,250,2571,1070574
JettWest,1775209353,151000,93,238654,11429,719,508,4510882,1,454248,10753,250,2571,238654
lordbathura,1775209353,41200,1334,33967,1138,17,41,11329446,1,454248,10753,250,2571,33967
Teru666,1775209353,28000,556,125105,2535,98,384,6862099,1,454248,10753,250,2571,125105
TyBreaker,1775209353,6920,120,61188,1286,77,409,8591208,1,454248,10753,250,2571,61188
Valorant Mundi,1775209353,60700,2014,3582,61,10,3744,1260347,1,454248,10753,250,2571,3582
Art of Valorant,1775209354,12600,287,38473,601,44,1051,1844731,1,454248,10753,250,2571,38473
SmashlogTV - VALORANT,1775209353,221000,571,123834,1903,148,1144,6307235,1,454248,10753,250,2571,123834
Valo Pro Replays,1775209354,19500,339,37549,710,23,1015,1129094,1,454248,10753,250,2571,37549
GotagaTV,1775209354,2540000,3070,118109,4011,31,1362,7498353,1,454248,10753,250,2571,118109
December,1775209353,2870,20,28894,1132,60,380,5694578,1,454248,10753,250,2571,28894
Lynx,1775209353,116000,2082,138593,2742,75,934,4905604,1,454248,10753,250,2571,138593
Tonbo,1775209355,27800,501,29915,399,29,911,1506317,1,454248,10753,250,2571,29915
Keeoh,1775209355,633000,667,928631,42079,832,4873,6900225,1,454248,10753,250,2571,928631
VALORANT Champions Tour CN,1775209355,70700,1875,71601,629,9,11468,5271586,1,454248,10753,250,2571,71601
Kiro,1775209355,1100,11,50909,632,63,113,4502252,1,454248,10753,250,2571,50909
Horcus,1775209355,671000,2028,724447,22258,188,1536,5549595,1,454248,10753,250,2571,724447
pr1me,1775209355,1530,9,12518,722,67,406,2540777,1,454248,10753,250,2571,12518
Haeyoday,1775209355,63200,526,116200,3728,236,1210,7874337,1,454248,10753,250,2571,116200
Zedd,1775209355,6280000,264,910208,12678,971,426,49190487,1,454248,10753,250,2571,910208
warrsick,1775209355,5480,23,65734,2305,194,521,4674119,1,454248,10753,250,2571,65734
Valorant Central,1775209355,1260,205,182863,1665,23,370,2495951,1,454248,10753,250,2571,182863
Narwax,1775209355,66400,266,270146,4465,132,668,4317046,1,454248,10753,250,2571,270146
VALORANT Champions Tour Vietnam,1775209355,194000,4732,114874,1946,27,3409,4854113,1,454248,10753,250,2571,114874
Valorant DAILY,1775209356,117000,12213,4790,61,2,2049,1556406,1,454248,10753,250,2571,4790
ray4c,1775209356,247000,923,725433,22997,133,762,11406778,1,454248,10753,250,2571,725433
Xazu,1775209356,505,8,5229,144,29,492,963086,1,454248,10753,250,2571,5229
CombatRy,1775209356,604000,1200,291326,11510,713,994,12183164,1,454248,10753,250,2571,291326
LATAM MONTAGE,1775209356,9930,6,1916570,21319,698,804,0,1,454248,10753,250,2571,1916570
cutespiders,1775209356,207000,2151,360527,14477,345,790,4581165,1,454248,10753,250,2571,360527
Teacute,1775209356,1230000,837,518994,10587,267,832,5979208,1,454248,10753,250,2571,518994
SOUL Regaltos,1775209356,2460000,2043,143864,13346,292,12714,18465902,1,454248,10753,250,2571,143864
Sonho,1775209356,502000,1704,51596,851,112,364,11202194,1,454248,10753,250,2571,51596
Valo Moments,1775209356,40100,16,121208,2046,77,441,7671393,1,454248,10753,250,2571,121208
8bit Binks69,1775209356,372000,3260,117014,8600,62,10193,11213427,1,454248,10753,250,2571,117014
Eggsterr,1775209356,249000,477,302436,11558,141,1086,11343513,1,454248,10753,250,2571,302436
BLV Tumi,1775209357,14000,430,15852,315,0,11441,1900168,1,454248,10753,250,2571,15852
HKBP CIJANTUNG,1775209357,9700,1941,5445,26,7,108,293328,1,454248,10753,250,2571,5445
zekken,1775209357,154000,459,50548,2095,44,1013,8994816,1,454248,10753,250,2571,50548
HK15,1775209357,769000,1022,1237690,18389,349,771,17009546,1,454248,10753,250,2571,1237690
Người Già Chơi Game,1775209357,51700,44,134101,3169,205,849,0,1,454248,10753,250,2571,134101
Jynxzi,1775209358,6250000,1994,3899812,159827,1165,9879,10206582,1,454248,10753,250,2571,3899812
WIDE KILLJOY,1775209357,6240,302,109412,2952,253,423,2336609,1,454248,10753,250,2571,109412
Fyrr,1775209357,43600,374,52366,1742,66,595,3652027,1,454248,10753,250,2571,52366
