channel,epoch,followers,video_count,avg10View,avg10Like,avg10Comment,frequency,predict_view,predict_like,predict_comment,view
ShoDesu,414627447,34700,610,58815,1527,49,14077028,1341066,634,0,58815
Rav,228875127,628000,679,137243,5533,373,12366375,172910,126,0,137243
enryu,201133562,27500,199,88425,2470,103,10465081,2544099,1294,1,88425
Sullla YouTube Channel,622624329,11800,1852,30584,305,80,59194644,2050709,372,3,30584
WizzkhalilaTV,244896340,1690,46,418,24,0,12865167,195695,204,0,418
Sumit 007,262904224,2450000,1986,1205883,67492,1193,15178423,389431,397,0,1205883
Alto,81995940,243000,194,941358,14080,1417,1626014,3065069,835,2,941358
Coach Rogue,374365696,84400,986,165142,6122,358,5116299,1548127,1045,2,165142
리플레이롤 League of Legends,217049084,112,46,3645,16,4,701181,25749646,2059,17,3645
Alpha GH,341800694,119,57,205,4,1,7914338,1363008,484,4,205
Broken By Concept,174856707,41800,1240,28876,615,176,4228398,546578,212,2,28876
Viva La Dirt League,462138122,7320000,3293,2145854,95447,3676,44240197,231942,187,0,2145854
Hextech Lab,143993003,65400,1022,299176,4819,160,12160205,3619434,1062,1,299176
프로관전러 P.S,249343332,550000,2570,144882,1244,661,26440142,208421,32,0,144882
PlayWithBlaire,178492995,1980,202,2122,29,1,7053721,847953,211,0,2122
League   Legends,124918779,237,991,101,0,0,1956341,337182,0,0,101
젠지 이스포츠 Gen.G Esports,265230688,182000,1767,142358,1077,46,22473398,618874,85,0,142358
Hashinshin,415956776,124000,669,34319,1486,142,6388278,218980,172,0,34319
Lathyrus,231083225,30900,1087,13197,428,25,23818370,337915,199,0,13197
Legends Esports,216385421,45200,1480,7253,94,17,7304464,126961,29,0,7253
Potent,150436890,32600,421,101771,2450,102,5665249,2470007,1083,1,101771
MoreCaseOh,85283422,2380000,1938,510589,15356,697,4089003,169740,93,0,510589
Bwipo,163149553,43200,133,30545,729,35,2352816,559433,243,0,30545
LoL Esports Latinoamérica,331045905,606000,4405,26896,740,34,29591750,35116,17,0,26896
