2,epoch,followers,video_count,avg10View,avg10Like,avg10Comment,frequency,predict_view,predict_like,predict_comment,view
EA Sports FC Mobile Vietnam,21428989,55500,155,4873969,3820,14,1166472,13904774,75,0,4873969
BÓNG ĐÁ HÔM NAY,110144305,6580,877,1331,39,6,3560116,32027,6,0,1331
Hai Bóng Đá TV,230330916,33100,3533,292533,884,7,8546887,1399332,29,0,292533
Bóng Đá Trẻ Trâu. TV,237579743,53,109,102,4,0,15255465,304718,82,0,102
KINI GH FOOTBALL TV ,29829037,353,167,2000,26,1,874058,897076,80,0,2000
Trọng Tài Online,193061323,73300,86,26120,369,114,659802,56421,5,0,26120
Hảo Bóng Đá Xoáy,25152944,3450,14,8503,50,6,252634,390235,15,0,8503
FC Syunik,98293990,1270,144,851,9,0,9980993,106096,7,0,851
CR MOMIN 07,30985766,854,34,5771,0,0,178828,1069959,0,0,5771
UR . CristianRonaldo7 ,7674903,88,57,437,25,1,747238,786272,310,0,437
Andre Chaves,461852053,123,60,86,2,0,4393678,110705,17,0,86
Vòng Quay Bóng Đá 24h,20567608,3410,286,9733,68,12,1119600,451925,21,0,9733
Tin Bóng đá,115950834,36900,7473,7348,20,2,2076346,31529,0,0,7348
BÓNG ĐÁ VIỆT TV,329124895,419000,1809,86243,301,17,2321764,32589,0,0,86243
A-Leagues,141193405,168000,7024,20974,385,12,942855,19767,2,0,20974
🔴 Real Madrid Fans | Internacional TV. ,80476175,13900,223,1615,20,1,6575556,18396,1,0,1615
Kênh bóng đá Việt Nam,255805987,107,20,3904,14,1,2458405,5776971,143,0,3904
مشجع برشلونه,29874337,51,194,99,5,0,1360875,307354,107,0,99
MIX BÓNG ĐÁ,218165008,15100,306,1228,11,0,5756696,12876,0,0,1228
Quotes bóng đá,146700769,156000,496,1558722,28665,247,6650836,1582042,201,0,1558722
Bóng Đá Plus TV,244724177,95800,15,13701,83,15,3056049,22644,0,0,13701
T FOOTBALL CHANNEL,45917851,930,16,14813,366,12,4347895,2521937,430,0,14813
BÓNG ĐÁ 24H NEW,118668450,42800,1699,16116,38,0,2363946,59619,0,0,16116
Messi_el_SPECTACULAR10,1326581,94,27,20,1,0,67964,33688,11,0,20
BLV Việt Hùng - HA Channel,172284440,25300,1814,9295,132,46,1605548,58170,5,0,9295
Bóng Đá Studio TV,270140880,900,75,113,2,0,2847528,19879,2,0,113
Đỗ Kim Phúc Bóng Đá TV,270007763,1130000,996,4981314,61768,222,15553944,697974,59,0,4981314
Football Metrics,11345247,744,167,405,3,0,1037053,86189,4,0,405
Zbet - Tin Tức Bóng Đá,62299751,8870,142,3060,24,0,1135213,54622,2,0,3060
Goal Zone Official,2213991,947,33,2706,203,6,124191,452430,234,0,2706
Hưng youTube bóng đá ,97021354,78,177,602,5,0,3029240,1222013,70,0,602
duy vlog soi kèo 2,212183382,12000,334,537211,1994,61,1440000,7088230,181,0,537211
Bóng Đá Chuối Chiên TV,8760568,2480,42,300676,477,13,793145,19196465,210,0,300676
Trực Tiếp Bóng Đá - VTV cab,148030246,405000,4496,781606,8727,227,9271422,305567,23,0,781606
Ted Trần TV,252723507,488000,3651,106942,1085,83,2181169,34697,2,0,106942
Vlog Minh Hải,525050942,1300000,4983,125327,4915,188,1896799,15264,4,0,125327
CỔ NHÂN DẶN,183667986,18900,135,3281,27,3,661913,27486,1,0,3281
J_AURA7,5873898,329,39,1823,42,0,615251,877333,139,0,1823
Hải Đăng Bóng Đá,143207722,1280,270,4317,16,0,2294090,534006,13,0,4317
Bóng Đá STV,219452022,302000,2200,53244,615,47,1274745,27915,2,0,53244
Khán Đài Bóng Đá Live,72393840,178000,3807,2800082,34771,173,4131022,2490720,213,0,2800082
Bóng đá Nhật Bản,18129559,4420,262,5870,111,18,1328594,210276,27,0,5870
BÃO BÓNG ĐÁ,268770981,187000,29,43023,120,7,9279779,36427,0,0,43023
Bóng Đá Phủi TV,242405214,1180,1226,193,1,0,13748742,25897,0,0,193
SHN TV,484951612,4340,941,683,9,0,6849157,24917,2,0,683
Kênh bóng đá. Tv,217221484,96,73,64,3,0,7916252,105556,34,0,64
Trực Tiếp Bóng Chuyền,177083098,672000,5809,653268,755,41,11388341,153920,1,0,653268
Đá bóng Việt Nam tiến lên Tv,35827307,360,72,14723,56,0,1281237,6475420,170,0,14723
TÂM ĐIỂM BÓNG ĐÁ,2567783,58,18,1905,5,2,178334,5200452,94,0,1905
BÓNG ĐÁ TV 24H,262048733,195000,76,14749,84,6,631317,11975,0,0,14749
BÓNG ĐÁ VIỆT NAM,135903197,945000,3540,86732,0,61,20339,14531,0,0,86732
Bóng Đá Cộng Đồng,215010514,1960,5144,145,0,0,4761195,11713,0,0,145
TV360 Nhận định bóng đá,60305401,77500,934,125272,409,0,297704,255933,5,0,125272
giấc mơ bóng đá TV,215183644,294,878,18,4,0,9054354,9693,14,0,18
