channel,epoch,followers,video_count,avg10View,avg10Like,avg10Comment,frequency,predict_view,predict_like,predict_comment,view
RIT Verse,125870973,1550,369,733,11,2,3727189,167279,97,0,733
HOYO-MiX,163004320,540000,29,1849312,21414,322,2441909,1211395,543,0,1849312
Miko,343651776,12500,1082,9601,257,42,976761,271691,281,1,9601
Memo Zero,155394336,330000,2719,300933,10025,126,3168167,322570,416,0,300933
Sia Playz Genshin,84969232,1,2,1,0,0,0,353728,0,0,1
GIBlacky,84810510,32600,37,373483,13701,737,6516191,4052496,5761,7,373483
GENSHIN IMPACT STORY,368108647,12,3,454,23,0,207622,13382709,26275,0,454
Stelaryss,335934865,38200,473,13749,1499,134,3262948,127314,537,1,13749
Yoshino,141487462,43700,615,869220,22070,182,3052634,7035868,6923,1,869220
red warrior,326347741,6780,1860,13709,303,81,13545202,715229,612,4,13709
Casual Genshin impact,165835586,8,3,9,1,0,61748,397944,1713,0,9
Unreal Dreamer,307847847,90700,1418,15172,870,38,7257042,59170,131,0,15172
TheMusicInMe777,398839749,8600,1501,4590,129,13,11063802,188792,205,0,4590
Bora “Slit” Yeşilırmak,354819064,76000,1840,43325,1850,193,20851940,201648,333,0,43325
Time2Login,101183568,24200,829,12745,357,164,1535701,186291,202,2,12745
AsPig,161437724,43600,829,15786,837,119,14697857,128072,263,0,15786
Genshin’d the Impact,104859480,155,28,1656,89,3,4730270,3779184,7871,6,1656
Asphi,250278418,183,18,3589,74,13,7138306,6937321,5543,24,3589
Yayo,218540780,15100,405,29672,1950,33,9648002,695087,1770,0,29672
Genshin Male Ragdoll,68846948,82,94,371,11,1,6829718,1600403,1839,4,371
Genshin Impact OST,113232595,12,13,520,14,0,2293834,15328213,15993,0,520
zKodla,167839288,69100,895,28192,989,46,4644974,144316,196,0,28192
GENSHIN IMPACT,125341791,9,18,44,3,0,911483,1729336,4569,0,44
Chloe Plays Genshin Impact,161240173,4,1,12,5,2,0,1061184,17136,174,12
Genshin Impact Podcasts Official,100185309,8,2,6,0,0,15617564,265296,0,0,6
Phantom - Genshin Impact,174567717,355,23,477,28,0,553375,475290,1081,0,477
Genshin Impact YouTube Channel ,154082935,97,19,9,1,0,2523611,32820,141,0,9
EraserVT,171598276,29300,1522,4236,427,7,27820948,51139,199,0,4236
SenseiChris,239719435,12,15,34,3,0,1660975,1002229,3427,0,34
Genshin T+,151266698,12,10,1393,18,1,683655,41061925,20563,29,1393
Genshin Impact Banga,144331384,30700,614,151863,9509,84,4868005,1749778,4246,0,151863
SoTa Genshin,98702976,3,8,83,3,0,50139,9786474,13709,0,83
Callie's Cozy Nook,128536,3,2,9,1,0,0,1061184,4569,0,9
Miron MinMax,113153583,138000,290,102884,5483,828,7771925,263717,544,2,102884
Damage Hacker - Genshin Impact,165526621,63,31,677,19,2,443999,3801172,4134,11,677
mellow Genshin Channel,405598189,672,232,2288,45,4,3244298,1204359,918,2,2288
Nahida Plays Genshin Impact,17008307,2,1,9,3,1,0,1591776,20563,174,9
💫Norrei Studios💫,27183751,4,6,1375,19,1,436171,121594000,65117,87,1375
E,121776903,116000,193,160150,13906,1365,8995599,488358,1643,4,160150
Genshin Impact | Fan channel,145114026,1,15,26,1,0,527634,9196928,13709,0,26
Gnik,225759365,73700,45,1025796,41767,2586,4782892,4923375,7769,12,1025796
Denyi,166188225,1130,68,8721,290,8,5904278,2729966,3518,2,8721
Leo TCG,439699478,116000,1562,63557,1075,108,19351230,193809,127,0,63557
KyoStinV,283677154,765000,3774,2798,149,18,54941,1293,2,0,2798
Genshin Impact Music,221198362,7,5,117,3,0,12384840,5912310,5875,0,117
revulnia,174648450,798,3,0,0,0,0,0,0,0,0
Farabi Hasan Music,144523111,14000,138,144056,2816,172,6921646,3639760,2757,4,144056
lement,98441180,12900,347,29402,1443,47,1218067,806225,1533,1,29402
DafDazDay,212301192,13700,1474,32585,584,83,8662813,841330,584,2,32585
Icecool,132132,1,1,14,1,0,0,4952192,13709,0,14
Mamba Uchiha Tv,316719124,13200,2868,16887,670,51,2672511,452530,695,1,16887
Acey,158336354,17700,622,226731,11093,312,5683174,4531135,8591,6,226731
animex_112,33247033,32,39,276,9,1,308311,3050904,3855,10,276
Tony To,173197607,219000,1272,177210,8369,445,6766291,286228,523,0,177210
Furina impact ,50756840,2480,95,10650,276,101,963816,1519033,1525,14,10650
