channel,epoch,followers,video_count,avg10View,avg10Like,avg10Comment,avg10Duration,frequency,isVerify,avgView,avgLikes,avgComments,avgDuration
Shirrako,1775201409,2540000,12543,722764,12540,950,5211,24219096,0,580782,19978,1108,5940
bizlychannel,1775201409,936000,46,2373934,114323,3825,2213,32317584,0,580782,19978,1108,5940
MaestusC,1775201409,361,60,27780,564,58,256,3027553,0,580782,19978,1108,5940
Let's Talk Resident Evil,1775201409,28600,1144,19398,769,160,4255,6681412,0,580782,19978,1108,5940
Maka91Productions,1775201409,453000,3128,117771,2288,219,4923,95089508,0,580782,19978,1108,5940
CarbotAnimations,1775201409,2420000,1477,1379484,54414,704,61,95016595,0,580782,19978,1108,5940
EfficientGamerX,1775201409,7270,151,18902,580,90,255,2483989,0,580782,19978,1108,5940
AshesWolf,1775201409,138000,639,59880,854,70,3136,2050178,0,580782,19978,1108,5940
The Cult of Shepard,1775201409,4410,632,36324,2156,84,244,1660887,0,580782,19978,1108,5940
𝗦𝗜𝗡𝗝𝗜𝗞𝗨𝗡,1775201409,803,20,10380,377,5,667,403021,0,580782,19978,1108,5940
El Rincón De Giorgio,1775201409,12300000,601,1063224,56592,1767,5603,95441398,0,580782,19978,1108,5940
Major Alex,1775201409,668000,3683,300384,6287,68,361,1607972,0,580782,19978,1108,5940
BanderitaX,1775201418,20500000,2056,2133899,92697,3645,7125,154789481,0,580782,19978,1108,5940
THE CASETOO,1775201411,666000,2493,76853,5774,885,4180,2660206,0,580782,19978,1108,5940
Tamil Gaming தமிழ் கேமிங்,1775201411,558000,3813,65038,4155,172,6313,2929330,0,580782,19978,1108,5940
Hollow,1775201422,5150000,6828,388315,11648,1351,8329,5835594,0,580782,19978,1108,5940
NightGameplay,1775201412,26600,435,152360,1828,75,10507,13116588,0,580782,19978,1108,5940
jacksepticeye,1775201418,31200000,5307,3855277,129566,6583,6616,154860065,0,580782,19978,1108,5940
Resident Evil Fan ☣,1775201418,3600,94,163795,3788,245,243,2988141,0,580782,19978,1108,5940
parkenharbor,1775201413,338000,1352,112876,3079,86,6867,2512182,0,580782,19978,1108,5940
Kuplinov ► Play,1775201413,17300000,7576,1692338,79742,2772,5509,226200613,0,580782,19978,1108,5940
RapidReacts,1775201418,144000,195,138211,3210,112,1288,6528607,0,580782,19978,1108,5940
GAME THERAPIST,1775201413,1900000,2301,344066,19070,808,1498,189217596,0,580782,19978,1108,5940
Its Shatter,1775201413,411000,854,57914,1259,168,2429,1436567,0,580782,19978,1108,5940
lzuniy,1775201413,2770000,1825,53839,757,57,1467,2448665,0,580782,19978,1108,5940
Pro Solo Gaming,1775201414,25500,598,183170,2648,247,21673,99214696,0,580782,19978,1108,5940
Hat Snow Player,1775201414,2010000,2156,780499,24942,122,6673,130300691,0,580782,19978,1108,5940
8-BitRyan,1775201415,4360000,3071,437151,25322,1540,6252,154188540,0,580782,19978,1108,5940
Champs Network,1775201414,672000,2705,145410,1273,81,5220,2928521,0,580782,19978,1108,5940
PunchKid,1775201415,3870,102,28440,519,44,276,2799792,0,580782,19978,1108,5940
GmanLives,1775201418,825000,754,876398,25592,2893,1813,345155169,0,580782,19978,1108,5940
SMART On Live Vol.2,1775201425,1340000,733,74225,2696,75,11464,826124,0,580782,19978,1108,5940
meGAME,1775201418,2580000,1309,148094,5139,50,264,91398588,0,580782,19978,1108,5940
Just Human,1775201418,42200,525,6326,128,30,2724,2451883,0,580782,19978,1108,5940
Bricky EP. 2,1775201419,249000,1826,35008,1307,93,8291,93371404,0,580782,19978,1108,5940
Asmongold TV  ,1775201421,4480000,6927,551077,14847,2426,7642,19561520,0,580782,19978,1108,5940
Gamer Guru,1775201424,157000,4870,85056,1239,88,1015,95553223,0,580782,19978,1108,5940
Nyiddle,1775201424,2740,643,50467,747,89,8363,255542,0,580782,19978,1108,5940
3FS,1775201427,1400000,354,573540,26059,2207,5656,2728172,0,580782,19978,1108,5940
Law & Auro,1775201424,424,13,578,19,23,961,120576,0,580782,19978,1108,5940
KingWoolz Games,1775201430,1060000,905,332795,10736,432,12313,101637063,0,580782,19978,1108,5940
MaxMRM GAMEPLAY,1775201433,2590000,3863,492600,43397,1815,4128,3074417,0,580782,19978,1108,5940
Ray Snakeyes,1775201426,1640000,5149,281508,8790,604,6283,2973625,0,580782,19978,1108,5940
3DJuegos,1775201435,1260000,3683,281406,14125,348,364,2467655,0,580782,19978,1108,5940
Deck Wizard,1775201438,111000,5918,15110,39,70,889,3019520,0,580782,19978,1108,5940
Umbrella Brasil,1775201463,22400,99,59466,2388,111,1938,25853432,0,580782,19978,1108,5940
Venom Gaming,1775201444,98100,322,9020,547,32,2675,1193724,0,580782,19978,1108,5940
ACE TEK LIVE,1775201448,1700,1161,1200,17,2,6198,67959121,0,580782,19978,1108,5940
SHN Survival Horror Network,1775201468,582000,986,91536,1880,169,25228,108053986,0,580782,19978,1108,5940
GameSpot,1775201469,5670000,41651,350068,7672,558,387,3421815,0,580782,19978,1108,5940
