channel,epoch,followers,video_count,avg10View,avg10Like,avg10Comment,avg10Duration,frequency,isVerify,avgView,avgLikes,avgComments,avgDuration,view
Người Soạn Phim,1775286710,189000,438,963596,4415,92,4439,9274264,0,252159,54390,971,3633,963596
MrBeast,1775286707,474000000,960,341447276,6709989,108331,984,13303999,0,252159,54390,971,3633,341447276
YUGI REVIEW,1775286711,282000,773,2026916,10487,774,4360,9046210,0,252159,54390,971,3633,2026916
LanOct review,1775286707,5170,14,205074,2139,136,4479,687068,0,252159,54390,971,3633,205074
Nhà hát Hoa rơi,1775286709,126000,146,106653,921,88,8442,873608,0,252159,54390,971,3633,106653
Live SupremeMasterTV,1775286709,34600,0,14410200,0,0,0,0,0,252159,54390,971,3633,14410200
Chiếc Tất Nhàu Review,1775286711,1690,59,102251,284,6,1703,1053398,0,252159,54390,971,3633,102251
Nghiện Hoa Ngữ,1775286710,169000,120,688672,4401,267,7976,1404207,0,252159,54390,971,3633,688672
 Chú Cuội Review Phim,1775286710,20200,258,160448,329,10,843,2073200,0,252159,54390,971,3633,160448
Budha Subba Digital,1775286712,8630000,14920,3374156,51652,2336,4429,34903204,0,252159,54390,971,3633,3374156
Người kể chuyện,1775286708,30500,279,126468,1092,138,777,5692199,0,252159,54390,971,3633,126468
Hi Phim,1775286710,1530000,1841,1120280,5479,105,5613,1490994,0,252159,54390,971,3633,1120280
Vở Phim Ngắn Hay,1775286754,120000,68,177634,1786,80,9461,1288812,0,252159,54390,971,3633,177634
Cày Phim Cuốc Bẫm,1775286753,9340,20,422858,2564,108,2997,3796503,0,252159,54390,971,3633,422858
Mê Phim Review,1775286752,287000,71,149699,2190,72,7884,1854464,0,252159,54390,971,3633,149699
Shiba Review Phim,1775286754,1840000,337,437143,2330,257,7081,1224225,0,252159,54390,971,3633,437143
BOUZUU - Gấu Review,1775286754,110000,369,229934,2102,37,1588,3264295,0,252159,54390,971,3633,229934
