channel,epoch,followers,video_count,avg10View,avg10Like,avg10Comment,frequency,predict_view,predict_like,predict_comment,view
Valorant Mundi,231490092,60800,2051,3202,55,8,1309834,10787,5,0,3202
SmashlogTV - VALORANT,164018591,221000,573,114878,2553,131,6192406,106479,71,0,114878
VALORANT翻訳Channel,7354305,377,12,24467,258,77,142824,13294147,4249,22,24467
Elevated,169248463,16500,167,11550,489,44,1309313,143390,184,0,11550
VALORANT Champions Tour CN,131265959,71500,1898,31341,293,9,5502389,89789,25,0,31341
Haeyoday,97117989,65700,535,119062,3839,249,8057673,371217,362,0,119062
"Valorant Lineups, Tips & Tricks",128686026,102,11,1228,23,4,1507684,2466149,1400,4,1228
Valorant DAILY,183687707,117000,12303,3953,50,2,1668003,6920,2,0,3953
Valorant Triumph,118558625,113,772,1789,13,0,3516301,3243045,714,0,1789
Kiwi Shio,78723118,125000,917,88233,5845,105,8538013,144591,290,0,88233
Jingggxd,110682687,152000,82,118759,2497,48,4974007,160045,101,0,118759
VALORANT Indonesia Community,184405630,1220,47,1114,24,0,16265685,187045,122,0,1114
8bit Binks69,219452230,374000,3282,143091,9747,65,1810844,78372,161,0,143091
Klyx,19653630,212,111,629,8,4,1413770,607765,234,2,629
eggwick,182114040,671000,1147,651412,13384,567,11618726,198863,123,0,651412
MehrkedTV,306623410,80500,71,492690,8491,186,10922410,1253715,654,0,492690
AlpaX Valorant,162427059,28600,690,41089,1833,68,2602568,294293,397,0,41089
Valorant World,189710704,113,35,868,11,4,492697,1573484,604,3,868
Sentinels,247917327,947000,962,1614176,53004,530,5088566,349158,347,0,1614176
Today On Valorant,130693060,9320,894,182708,2553,175,6289266,4015714,1700,2,182708
Kuwik Valorant,8271706,119,16,6572,56,8,134999,11312841,2921,7,6572
VALORANT Challengers Americas,173473964,55400,1270,14234,164,5,18767915,52630,18,0,14234
Last Free Nation VALORANT,27338568,10700,27,31237,994,118,1952756,598007,576,1,31237
Slayer Gaming,397439703,70,102,571,18,1,13692305,1670933,1596,1,571
 Valorant TV - Duy Sọ Dừa,46604666,88,14,222,2,0,389426,516763,141,0,222
Valorant Pro Plays,103715959,58,42,136,5,0,1946845,480321,535,0,136
VALORANT News - TacticalRab,143419727,83700,1568,39784,961,128,1660990,97365,71,0,39784
ricKy | Valorant,101695168,93,117,874,15,2,11572414,1925083,1001,2,874
MINTU,29196964,276,197,873,13,5,2410568,647927,292,1,873
todo,104738554,199000,501,223629,6388,101,7428718,230195,199,0,223629
WestJett,185484948,774000,910,233182,13770,785,18131507,61712,110,0,233182
Valorant Extreme Camping,107843374,79,95,4393,57,6,4746461,11390826,4479,8,4393
Souzones Valorant,193322282,153000,340,71620,4803,226,8067625,95887,194,0,71620
Naifu VALORANT,80682291,1060,89,5955,67,2,3784999,1150792,392,0,5955
TenZ Replay,112259603,108000,299,232890,4356,73,4982005,441721,250,0,232890
Propelled Valorant,148045246,60,51,2833,57,1,824120,9672003,5898,1,2833
VALORANTが好きなんだ【翻訳】,401500973,15000,132,68688,849,63,2074204,938017,351,0,68688
TOXINsVAULT,175071918,114,45,58,0,0,1526136,104218,0,0,58
Thinking Man's Valorant,136776024,127000,1816,51398,1950,151,8382465,82901,95,0,51398
Snax Gaming,206253377,2310000,1499,403109,21586,51,4986965,35746,58,0,403109
WootVL,238463854,42200,258,31941,1161,46,5837570,155044,170,0,31941
Airen,183520507,306000,111,803906,20141,429,10048382,538152,408,0,803906
ViPER EsSports,379588490,198000,708,16055,1483,48,18206311,16609,46,0,16055
Asuna,412619750,174000,342,686890,33495,203,4272320,808647,1195,0,686890
schrodingerLee,135224566,1590000,493,2744314,167979,1258,11982667,353555,655,0,2744314
Valorant Fan Channel,135756418,368,567,2966,59,2,1134022,1650990,995,0,2966
Daily Valorant,193116991,209000,2177,37082,468,80,73170,36344,13,0,37082
Valorant MasterMind,92812704,351,74,18461,238,6,1341532,10773808,4210,1,18461
ScreaM,363401619,704000,395,92525,3503,86,12702004,26922,30,0,92525
STRONG - Valorant VCT World Champion,296451976,209,13,490,22,2,20328821,480253,653,1,490
Hamy,161596426,82900,121,1798509,71102,435,6189911,4444052,5325,0,1798509
Valorant Vision,278828898,91200,511,49543,820,24,5527941,111277,55,0,49543
ASPAS,146660442,413000,433,277287,12665,132,10523204,137530,190,0,277287
