channel,epoch,followers,video_count,avg10View,avg10Like,avg10Comment,frequency,isVerify,predict_view,predict_like,predict_comment,view
Financial Engineering,385444728,1320,39,598,6,3,886362,253365,52,0,598
DINESH SIR Live Study,225467917,1280000,3331,51436,2077,195,11040472,22473,18,0,51436
Brick Technology,155208919,2550000,41,44184514,324115,10395,0,9690599,1472,1,44184514
Real Civil Engineer,184448236,2790000,1935,653794,16370,487,12355171,131056,67,0,653794
AutomotivePress,169590804,225000,1818,19454,296,68,3444415,48355,15,0,19454
The Engineering Mindset,341398372,4330000,310,1847152,44311,847,24426530,238580,118,0,1847152
The B1M,447239603,3960000,841,530753,13848,452,5826993,74958,40,0,530753
Pharma Engineering,177447000,17,0,0,0,0,0,0,0,0,0
Engineering The Impossible,173563617,131000,376,3275,66,3,0,13981,5,0,3275
Bidya Bhandar Kids,92339549,87,14,0,0,0,0,0,0,0,0
Apep Muhlis,272615930,7090,245,488,4,4,0,38494,6,0,488
henrys kasereka,400052603,77,16,6610,16,9,145429310,48009975,2406,48,6610
Engineering Explained,466765885,4190000,1051,3375454,156948,1390,45392602,450545,433,0,3375454
Sayed Auf,454293773,44200,421,166,0,0,0,2100,0,0,166
Brick Experiment Channel,263134452,5720000,119,41902066,547811,45448,0,4096945,1109,3,41902066
D Tech Engineering,137017652,698,4,0,0,0,0,0,0,0,0
HeroTech,399604410,393000,38,3285970,36790,1182,19852006,4676186,1084,1,3285970
Learning Engineering,373731893,341000,582,202917,2183,31,18382041,332801,74,0,202917
GR Codex,688566,8,1,0,0,0,0,0,0,0,0
Baskin Engineering at UCSC,207991198,290,118,199,1,0,11471216,383774,39,0,199
shahrul antswar electrician,181926459,5800,308,99,4,0,0,9546,7,0,99
Apex Build And Construct,7721077,3,2,0,0,0,0,0,0,0,0
CS & IT Engineering Gyan ,36421404,1950,250,2094,31,2,617143,600568,184,0,2094
Siddhi Pravinkumar Trivedi,188379499,36,12,0,0,0,0,0,0,0,0
HAB Marine Engineering ,332535927,1100,23,1468,31,0,0,746369,326,0,1468
Engineering Innovation,203032338,41500,1085,5094,320,18,1787248,68648,89,0,5094
Electrical Grand Master,16035023,27,80,0,0,0,0,0,0,0,0
Embedded Engineering Channel,375749945,166,7,12766,153,14,18059587,43009807,10674,34,12766
Ziyad Hamed,304787289,36,28,513,4,1,21205796,7969583,1286,11,513
Masato Yuminashi Engineering ,378268401,125,15,170,5,0,5175617,760605,463,0,170
Tech CS engineering ,334545381,95,107,44,4,0,6819570,259029,487,0,44
Microsoft Developer,274534541,674000,8492,8022,134,11,24685079,6656,2,0,8022
Osama Emad,468508336,1580,41,0,0,0,0,0,0,0,0
Vett Presets,35719581,16,4,0,0,0,0,0,0,0,0
FunTech Bloggers,293792737,46,25,52,5,3,15162371,632217,1258,27,52
Audiosonix Engineering,256728332,2,29,0,0,0,0,0,0,0,0
Paletz,306927647,81,41,0,0,0,0,0,0,0,0
Engr. Juwel Patwary,281216888,18200,90,579,29,8,0,17792,18,0,579
Apex Engineering,14651528,1780,53,0,0,0,0,0,0,0,0
Real Engineering,396742091,5050000,283,4916667,96803,7128,21936430,544502,222,0,4916667
5 Minutes Engineering,241723531,842000,2153,205305,5287,106,36651371,136366,72,0,205305
Civil Concept,144281279,12600,312,50566,530,4,7956830,2244444,487,0,50566
WebSankul - Civil Engineering,78859474,12400,621,6919,235,3,8071221,312063,219,0,6919
Arjun Kaul,348045022,20,16,0,0,0,0,0,0,0,0
Uber Engineering,319079984,24500,268,1541,3,0,14829785,35176,1,0,1541
MD RUMEL ISLAM,356794712,467,11,0,0,0,0,0,0,0,0
SimonTech  Development & Engineering,386563625,5,8,19,1,0,82279052,2125222,2316,0,19
